FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
YD,BT228,-0.0757395,0.0329441,0.227312,0.0214406,0.282203,0.0269892,-0.0390838,0.146796,0.0378587,0.0225663
YD,BT229,-0.101665,-0.137965,-0.0560553,0.125791,-0.113437,0.014975,-0.130309,-0.135483,-0.0100998,0.149428
YD,BT233,-0.0820136,0.0304609,0.27046,0.0255421,0.338495,0.0368406,-0.0466413,0.156935,0.0397923,0.0246521
YD,BT237,-0.0951882,-0.097725,-0.0126323,0.111334,-0.110609,0.0156847,-0.0582619,-0.111015,0.0139143,0.139623
YD,BT238,-0.0411206,-0.02937,0.0699671,0.0332177,0.00734309,-0.00934741,0.012479,-0.0773919,-0.0267634,-0.0231569
YD,BT239,-0.104489,0.0422409,0.235747,0.0978521,-0.109147,0.0146664,0.286016,-0.0573776,0.132032,0.232654
YD,BT241,-0.111141,0.0436359,0.218923,0.094535,-0.156382,0.00789749,0.2838,-0.0718335,0.100496,0.208531
MD,BT266,0.0710568,-0.044992,0.0390836,-0.138356,0.00402819,-0.0539141,-0.0228037,-0.209621,-0.182506,-0.134136
MD,BT267,0.0736817,-0.0656266,0.0470918,-0.211336,-0.00221991,-0.123417,0.0454979,-0.167575,-0.222589,-0.100478
MD,BT268,0.180254,0.0482916,-0.0881029,0.0418333,0.0205773,0.481263,0.0881887,0.00773021,-0.134654,0.0473594
MD,BT269,0.0837605,-0.00864351,0.031386,-0.0862359,-0.137964,-0.0156295,-0.213803,0.36849,0.0294626,0.0709276
AW,BT275,0.0776026,-0.00148815,-0.00314852,-0.0210783,-0.00187778,0.0125329,-0.0117701,-0.00969048,0.0304818,0.0121201
AW,BT276,0.0497777,-0.0709422,-0.0613859,-0.0459848,0.00415928,0.00609563,0.0583651,0.0739341,0.088521,-0.0376543
AW,BT277,0.0948767,0.0187233,0.00835979,-0.0574297,-0.031296,0.0738183,-0.0680059,-0.0163322,0.0815959,-0.0169307
AW,BT279,0.0717016,0.0139283,-0.00293426,-0.0368244,-0.0280895,-0.00119991,-0.0330026,0.0328138,0.0289756,-0.00712519
FD,BT281,0.177103,0.103995,-0.0383039,0.201824,0.0287393,-0.158867,0.050299,-0.00507291,-0.0701377,0.00343106
FD,BT282,0.0972603,0.0151712,0.00978036,-0.00688348,-0.0327939,-0.0562217,-0.080339,-0.0268958,0.248885,-0.00441181
FD,BT283,0.0580605,-0.0558954,0.0334124,-0.15331,-0.0516527,-0.11296,0.0494894,0.100776,-0.110595,0.0368263
FD,BT284,0.196196,0.11469,-0.0485902,0.240589,0.048799,-0.191538,0.0355125,-0.010243,-0.0595848,0.0190126
FD,BT285,0.0797654,0.00216911,0.000210139,-0.0184346,-0.0145459,-0.00274184,-0.0346697,-0.050253,0.0116267,-0.0316752
FD,BT286,0.212964,0.133845,-0.0675684,0.269579,0.0511295,-0.233592,0.0258558,0.0252668,-0.0279874,-0.00115795
FD,BT288,0.105224,-0.00728141,0.0271441,-0.07985,-0.0498052,0.0142307,-0.0558278,-0.00934644,0.0855429,-0.00111186
FD,BT289,0.130935,0.0470683,-0.00801052,0.0555212,-0.0138568,-0.101867,-0.0692047,-0.0171355,0.205964,-0.00290585
FD,BT290,0.131804,0.0227268,-0.0425945,-0.0429032,-0.0109519,0.259639,-0.000315353,-0.00315634,0.0269014,0.00812619
FD,BT291,0.148583,0.0413422,-0.0619108,0.0234471,0.0143257,0.41947,0.0710042,-0.00623136,-0.100725,0.0421671
FD,BT293,0.0938527,-0.0208848,0.0479422,-0.151975,-0.0476394,-0.0499665,0.00995785,-0.0299822,0.0503556,0.288384
FD,BT295,0.100381,-0.0612231,0.0363324,-0.2647,-0.0267711,-0.13983,0.0829982,-0.021277,-0.151156,0.0831516
FD,BT296,0.0766162,-0.00675428,0.00535676,-0.0503076,0.00282907,0.0446915,-0.0305425,-0.0436876,0.0553051,0.00787412
FD,BT297,0.0726161,-0.00786501,0.00479866,-0.0671424,-0.0206378,0.00381694,-0.0537908,0.0173683,0.0592997,0.0266887
FD,BT299,0.223783,0.126956,-0.0698519,0.278757,0.0611985,-0.150195,0.058754,0.0221741,-0.0887912,0.00108146
FD,BT301,0.0969896,-0.0153472,0.0456219,-0.125258,-0.0357131,-0.0424072,-0.00952653,-0.0243525,0.057141,0.275421
FD,BT303,0.177077,0.0536417,-0.0858936,0.0364668,0.0195396,0.452228,0.0801658,-0.00639354,-0.118209,0.0617897
FD,BT305,0.218697,0.130179,-0.07272,0.272179,0.0619891,-0.185404,0.0339578,0.0114387,-0.0441298,0.00844372
FD,BT307,0.173206,0.0769667,-0.0436611,0.153907,0.0201713,0.0105865,0.0360373,0.0480861,-0.10188,0.0324273
FD,BT309,0.11635,-0.000757257,0.0178473,-0.122576,-0.0359455,0.0455908,-0.0621144,-0.00244194,0.0891551,0.0275502
FD,BT315,0.0142121,0.00387452,0.0135999,-0.0401853,-0.205175,-0.0273083,-0.176296,0.321586,0.00179869,-0.028625
FD,BT316,0.0820135,0.00476289,0.027338,-0.0918271,-0.152579,-0.0332475,-0.218895,0.420342,0.00951535,0.0645216
DD,BT321,0.0676489,0.0224147,-0.000941734,-0.067863,0.0128345,0.01273,-0.0236822,-0.174924,0.359771,-0.215074
DD,BT322,0.0709784,0.011888,-0.0056931,-0.0385442,-0.00512011,0.0196083,-0.0474062,-0.139791,0.313763,-0.150906
DD,BT324,0.0303451,0.00698843,0.0376933,-0.0282393,-0.00473627,0.0152903,-0.01388,-0.0197567,0.0370475,-0.0478897
DD,BT325,0.0791644,0.0224674,-0.00409723,-0.0650513,-0.000719157,0.0189295,-0.0470822,-0.197232,0.417785,-0.221574
DD,BT327,0.0625669,-0.0265236,-0.000679443,-0.0289847,-0.0171011,-0.0296361,-0.0985503,-0.146077,-0.0908302,-0.00699962
FD,BT34,0.0656554,-0.106943,0.0125772,-0.242032,0.00746435,-0.148571,0.150754,-0.00612555,-0.174149,0.0214526
FD,BT35,0.0869234,-0.0637333,0.0525491,-0.236398,-0.0360275,-0.122104,0.0794875,-0.0112191,-0.0646695,0.245362
FD,BT37,0.0926237,0.00498053,0.00485747,-0.0837443,-0.0203649,-0.0188311,-0.0103087,-0.0105185,0.0346103,0.0789575
FD,BT39,0.0833962,0.00516618,0.00504961,-0.0538241,-0.0237437,0.0184349,-0.0233008,0.0244947,0.0577972,0.00921737
FD,BT41,0.083506,-0.0433089,0.0409595,-0.147986,-0.00496541,-0.0867234,0.0350551,-0.138143,-0.144862,-0.0751229
