IID,FID,Taxon,Population,Longitude,Latitude,Sex,Heterozygosity
BT224,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003741756
BT241,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003748314
BT240,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003751446
BT238,YD,cincta,Yellow Dam,146.66,-19.48,male,0.003752264
BT233,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003761177
BT239,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003767999
BT236,YD,cincta,Yellow Dam,146.66,-19.48,female,0.003791799
CH17,CH,hecki,Chidna,139.446,-19.387,male,0.004371155
CH16,CH,hecki,Chidna,139.446,-19.387,male,0.004381708
CH07,CH,hecki,Chidna,139.446,-19.387,male,0.004401378
CH06,CH,hecki,Chidna,139.446,-19.387,male,0.004419689
CH04,CH,hecki,Chidna,139.446,-19.387,male,0.004437575
CH20,CH,hecki,Chidna,139.446,-19.387,male,0.004437721
CH12,CH,hecki,Chidna,139.446,-19.387,male,0.004451951
CH09,CH,hecki,Chidna,139.446,-19.387,male,0.004460326
CH15,CH,hecki,Chidna,139.446,-19.387,female,0.004462307
CH13,CH,hecki,Chidna,139.446,-19.387,male,0.004476148
CH02,CH,hecki,Chidna,139.446,-19.387,male,0.004476967
CH19,CH,hecki,Chidna,139.446,-19.387,female,0.004482983
CH03,CH,hecki,Chidna,139.446,-19.387,female,0.004496213
CH05,CH,hecki,Chidna,139.446,-19.387,male,0.004498721
CH14,CH,hecki,Chidna,139.446,-19.387,female,0.004499195
CH01,CH,hecki,Chidna,139.446,-19.387,male,0.004504928
CH18,CH,hecki,Chidna,139.446,-19.387,female,0.004512823
CH10,CH,hecki,Chidna,139.446,-19.387,male,0.00452566
CH08,CH,hecki,Chidna,139.446,-19.387,male,0.00455479
CH11,CH,hecki,Chidna,139.446,-19.387,female,0.004567267
LH10,LH,hecki,Leichardt,139.736,-20.263,male,0.004308986
LH11,LH,hecki,Leichardt,139.736,-20.263,male,0.004346934
LH05,LH,hecki,Leichardt,139.736,-20.263,male,0.004356425
LH04,LH,hecki,Leichardt,139.736,-20.263,female,0.004373378
LH13,LH,hecki,Leichardt,139.736,-20.263,female,0.004401193
LH01,LH,hecki,Leichardt,139.736,-20.263,female,0.004416337
LH15,LH,hecki,Leichardt,139.736,-20.263,male,0.004421837
LH02,LH,hecki,Leichardt,139.736,-20.263,male,0.00443087
LH03,LH,hecki,Leichardt,139.736,-20.263,female,0.004449204
LH12,LH,hecki,Leichardt,139.736,-20.263,male,0.004481223
LH09,LH,hecki,Leichardt,139.736,-20.263,male,0.004490812
LH06,LH,hecki,Leichardt,139.736,-20.263,female,0.004676437
LH07,LH,hecki,Leichardt,139.736,-20.263,male,0.004818334
LH08,LH,hecki,Leichardt,139.736,-20.263,female,0.004866044
LH14,LH,hecki,Leichardt,139.736,-20.263,female,0.0049831
LS01,LS,hecki,Lorella Springs,135.629,-15.624,male,0.004454632
LS02,LS,hecki,Lorella Springs,135.629,-15.624,male,0.004468337
LS03,LS,hecki,Lorella Springs,135.629,-15.624,male,0.004518469
MA11,MA,hecki,MacArthur River,135.869,-16.508,female,0.004328639
MA06,MA,hecki,MacArthur River,135.869,-16.508,male,0.004358623
MA12,MA,hecki,MacArthur River,135.869,-16.508,male,0.004368257
MA14,MA,hecki,MacArthur River,135.869,-16.508,female,0.004387276
MA05,MA,hecki,MacArthur River,135.869,-16.508,female,0.004390021
MA13,MA,hecki,MacArthur River,135.869,-16.508,male,0.004439216
MA01,MA,hecki,MacArthur River,135.869,-16.508,female,0.004445943
MA04,MA,hecki,MacArthur River,135.869,-16.508,female,0.004446907
MA10,MA,hecki,MacArthur River,135.869,-16.508,female,0.00445833
MA09,MA,hecki,MacArthur River,135.869,-16.508,male,0.004467667
MA07,MA,hecki,MacArthur River,135.869,-16.508,female,0.004470419
MA15,MA,hecki,MacArthur River,135.869,-16.508,female,0.004471445
MA08,MA,hecki,MacArthur River,135.869,-16.508,female,0.004484584
MY08,MY,hecki,Maryfield,133.402,-15.832,male,0.004336866
MY05,MY,hecki,Maryfield,133.402,-15.832,male,0.004360541
MY04,MY,hecki,Maryfield,133.402,-15.832,male,0.004415194
MY06,MY,hecki,Maryfield,133.402,-15.832,male,0.004416315
MY15,MY,hecki,Maryfield,133.402,-15.832,female,0.004426152
MY14,MY,hecki,Maryfield,133.402,-15.832,male,0.004488141
MY07,MY,hecki,Maryfield,133.402,-15.832,female,0.004489681
MY09,MY,hecki,Maryfield,133.402,-15.832,female,0.004490897
MY12,MY,hecki,Maryfield,133.402,-15.832,male,0.004491201
MY13,MY,hecki,Maryfield,133.402,-15.832,male,0.004498313
MY10,MY,hecki,Maryfield,133.402,-15.832,male,0.004543769
MY11,MY,hecki,Maryfield,133.402,-15.832,female,0.004551583
MY01,MY,hecki,Maryfield,133.402,-15.832,male,0.004562002
MY02,MY,hecki,Maryfield,133.402,-15.832,male,0.004711183
MY03,MY,hecki,Maryfield,133.402,-15.832,male,0.004759565
OC04,OC,hecki,October Creek,134.86,-16.631,male,0.004289553
OC03,OC,hecki,October Creek,134.86,-16.631,female,0.004332892
73787,OC,hecki,October Creek,134.86,-16.631,male,0.004356221
73793,OC,hecki,October Creek,134.86,-16.631,female,0.004360871
OC13,OC,hecki,October Creek,134.86,-16.631,female,0.004389971
73792,OC,hecki,October Creek,134.86,-16.631,female,0.004406529
73959,OC,hecki,October Creek,134.86,-16.631,male,0.004434446
OC09,OC,hecki,October Creek,134.86,-16.631,male,0.004445387
73958,OC,hecki,October Creek,134.86,-16.631,male,0.00446822
OC11,OC,hecki,October Creek,134.86,-16.631,male,0.004473209
73788,OC,hecki,October Creek,134.86,-16.631,female,0.004474673
OC05,OC,hecki,October Creek,134.86,-16.631,female,0.004487443
OC10,OC,hecki,October Creek,134.86,-16.631,female,0.004490583
OC07,OC,hecki,October Creek,134.86,-16.631,male,0.004494161
OC12,OC,hecki,October Creek,134.86,-16.631,female,0.004499386
OC02,OC,hecki,October Creek,134.86,-16.631,male,0.004515741
73948,OC,hecki,October Creek,134.86,-16.631,female,0.004528795
73933,OC,hecki,October Creek,134.86,-16.631,male,0.004532926
OC01,OC,hecki,October Creek,134.86,-16.631,female,0.004549165
OC14,OC,hecki,October Creek,134.86,-16.631,female,0.004549667
73903,OC,hecki,October Creek,134.86,-16.631,female,0.004577758
73782,OC,hecki,October Creek,134.86,-16.631,male,0.004583766
73940,OC,hecki,October Creek,134.86,-16.631,male,0.004603978
73942,OC,hecki,October Creek,134.86,-16.631,male,0.00460817
73908,OC,hecki,October Creek,134.86,-16.631,male,0.004610673
73953,OC,hecki,October Creek,134.86,-16.631,male,0.004619219
73900,OC,hecki,October Creek,134.86,-16.631,female,0.004628871
73920,OC,hecki,October Creek,134.86,-16.631,male,0.004631507
73955,OC,hecki,October Creek,134.86,-16.631,male,0.00463472
73937,OC,hecki,October Creek,134.86,-16.631,male,0.004651778
73917,OC,hecki,October Creek,134.86,-16.631,male,0.00465811
73936,OC,hecki,October Creek,134.86,-16.631,male,0.004664748
73945,OC,hecki,October Creek,134.86,-16.631,male,0.004666149
73780,OC,hecki,October Creek,134.86,-16.631,male,0.004675714
73972,OC,hecki,October Creek,134.86,-16.631,male,0.004679503
73938,OC,hecki,October Creek,134.86,-16.631,male,0.004682137
73960,OC,hecki,October Creek,134.86,-16.631,male,0.004689691
73966,OC,hecki,October Creek,134.86,-16.631,male,0.004700564
73946,OC,hecki,October Creek,134.86,-16.631,male,0.004715766
73783,OC,hecki,October Creek,134.86,-16.631,male,0.004747559
73791,OC,hecki,October Creek,134.86,-16.631,male,0.004825322
PR03,PR,hecki,Port Roper,134.364,-14.757,male,0.004377697
PR01,PR,hecki,Port Roper,134.364,-14.757,female,0.004428573
PR02,PR,hecki,Port Roper,134.364,-14.757,female,0.004494311
