IID,FID,Taxon,Population,Longitude,Latitude,Sites,Heterozygous,Heterozygosity
BT57,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2251,0.0424
BT58,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2081,0.0392
BT59,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2223,0.0419
BT60,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2197,0.0414
BT62,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2190,0.0413
BT63,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2182,0.0411
BT64,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2194,0.0414
BT65,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2262,0.0426
BT68,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2213,0.0417
BT69,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2196,0.0414
BT70,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2242,0.0423
BT72,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2208,0.0416
BT73,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2225,0.0419
BT74,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2183,0.0412
BT75,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2248,0.0424
BT79,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2075,0.0391
BT80,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2214,0.0417
BT84,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2186,0.0412
BT85,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2265,0.0427
BT86,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2253,0.0425
BT87,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2423,0.0457
BT88,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2400,0.0452
BT90,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2257,0.0425
BT91,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2273,0.0428
BT92,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2237,0.0422
BT93,RL,atropygialis,Red Lily Lagoon,144.160,-14.850,53049,2192,0.0413
BT22,AD,cincta,Adani Dam,146.260,-21.920,53049,2326,0.0438
BT23,AD,cincta,Adani Dam,146.260,-21.920,53049,2152,0.0406
BT24,AD,cincta,Adani Dam,146.260,-21.920,53049,2318,0.0437
BT25,AD,cincta,Adani Dam,146.260,-21.920,53049,1981,0.0373
BT26,AD,cincta,Adani Dam,146.260,-21.920,53049,2223,0.0419
BT27,AD,cincta,Adani Dam,146.260,-21.920,53049,2092,0.0394
BT28,AD,cincta,Adani Dam,146.260,-21.920,53049,2069,0.0390
BT30,AD,cincta,Adani Dam,146.260,-21.920,53049,2712,0.0511
BT31,AD,cincta,Adani Dam,146.260,-21.920,53049,2081,0.0392
BT328,AD,cincta,Adani Dam,146.260,-21.920,53049,2176,0.0410
BT329,AD,cincta,Adani Dam,146.260,-21.920,53049,2192,0.0413
BT330,AD,cincta,Adani Dam,146.260,-21.920,53049,2225,0.0419
BT331,AD,cincta,Adani Dam,146.260,-21.920,53049,2185,0.0412
BT332,AD,cincta,Adani Dam,146.260,-21.920,53049,2271,0.0428
BT333,AD,cincta,Adani Dam,146.260,-21.920,53049,2162,0.0408
BT334,AD,cincta,Adani Dam,146.260,-21.920,53049,2233,0.0421
BT335,AD,cincta,Adani Dam,146.260,-21.920,53049,2070,0.0390
BT336,AD,cincta,Adani Dam,146.260,-21.920,53049,2753,0.0519
BT337,AD,cincta,Adani Dam,146.260,-21.920,53049,2354,0.0444
BT338,AD,cincta,Adani Dam,146.260,-21.920,53049,2198,0.0414
BT339,AD,cincta,Adani Dam,146.260,-21.920,53049,2214,0.0417
BT340,AD,cincta,Adani Dam,146.260,-21.920,53049,2323,0.0438
BT341,AD,cincta,Adani Dam,146.260,-21.920,53049,2084,0.0393
BT343,AD,cincta,Adani Dam,146.260,-21.920,53049,2194,0.0414
BT344,AD,cincta,Adani Dam,146.260,-21.920,53049,2129,0.0401
BT345,AD,cincta,Adani Dam,146.260,-21.920,53049,2246,0.0423
BT346,AD,cincta,Adani Dam,146.260,-21.920,53049,2283,0.0430
BT347,AD,cincta,Adani Dam,146.260,-21.920,53049,2199,0.0415
BT348,AD,cincta,Adani Dam,146.260,-21.920,53049,2094,0.0395
BT349,AD,cincta,Adani Dam,146.260,-21.920,53049,2395,0.0451
BT350,AD,cincta,Adani Dam,146.260,-21.920,53049,2945,0.0555
BT351,AD,cincta,Adani Dam,146.260,-21.920,53049,2068,0.0390
BT352,AD,cincta,Adani Dam,146.260,-21.920,53049,2102,0.0396
BT355,AD,cincta,Adani Dam,146.260,-21.920,53049,2643,0.0498
BT356,AD,cincta,Adani Dam,146.260,-21.920,53049,2646,0.0499
BT357,AD,cincta,Adani Dam,146.260,-21.920,53049,2099,0.0396
BT358,AD,cincta,Adani Dam,146.260,-21.920,53049,2225,0.0419
BT359,AD,cincta,Adani Dam,146.260,-21.920,53049,2130,0.0402
BT360,AD,cincta,Adani Dam,146.260,-21.920,53049,2343,0.0442
BT275,AW,cincta,Anthill West,146.850,-19.440,53049,2093,0.0395
BT276,AW,cincta,Anthill West,146.850,-19.440,53049,2179,0.0411
BT277,AW,cincta,Anthill West,146.850,-19.440,53049,2005,0.0378
BT279,AW,cincta,Anthill West,146.850,-19.440,53049,2278,0.0429
BT159,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1940,0.0366
BT160,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1867,0.0352
BT161,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2005,0.0378
BT162,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1855,0.0350
BT163,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1933,0.0364
BT164,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1916,0.0361
BT167,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1922,0.0362
BT168,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1990,0.0375
BT170,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1905,0.0359
BT171,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1906,0.0359
BT173,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1982,0.0374
BT174,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1887,0.0356
BT175,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1954,0.0368
BT176,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1860,0.0351
BT179,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1970,0.0371
BT180,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2007,0.0378
BT181,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2087,0.0393
BT182,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1984,0.0374
BT184,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1947,0.0367
BT185,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2071,0.0390
BT186,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1966,0.0371
BT188,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1998,0.0377
BT189,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1981,0.0373
BT191,CD,cincta,Clearwater Dam,146.710,-19.460,53049,2165,0.0408
BT192,CD,cincta,Clearwater Dam,146.710,-19.460,53049,1839,0.0347
